created_at,tweet,sentiment,compound
2019-04-14 21:03:07, Did you know that DigiByte is the fastest blockchain To try it for yourself I will Give-away 500 $dgb DigiByte if this tweet hits 100 retweets or likes Winner will be chosen when goal is hit crypto freetokens freecoins bitcoin free DigiByteCoin  🚀 🚀 🚨 🚨 🚨 🚨 🚀 🚀,0.155,0.872
2019-04-14 21:03:08,Costliness of money annually Gold Mining $105B Paper Currency and Minting $28B Banking System $1870B Governments $27600B Bitcoin Mining $45B ,0.0,0.0
2019-04-14 21:03:08,MikeNardolillo I think you dont understand the concept of printing money out of thin air Bitcoin coins comes from computation work Same way fiat in the past was backed by mined gold and now its just printed with machines with no gold backing ,0.051,-0.25
2019-04-14 21:03:15,KevinHoffman gclaramunt Despite Bitcoin in the title this book is very broad and fairly balanced  ,0.0,0.0
2019-04-14 21:03:17,Iceland Bitcoin Mining This place is the real btc winners club earnings are instantly sent to your wallet Start now and Win  ,0.257,0.7845
2019-04-14 21:03:26,xtdisnkfe APompliano More bitcoin fraud Wtf get real people on there with CL and co ,0.385,-0.8459
2019-04-14 21:03:27,niccarter is sure to ruffle some feathers with his piece on Bitcoin banks proof of solvency and credit on Bitcoin Despite the fact that I disagree with some points its a great read that illuminates the potential paths Bitcoin can take  ,0.193,0.7506
2019-04-14 21:03:29,btc Bitcoin eth ethereum My target prices are $btc $3000 and $eth $80 These lows will completely destroy the general publics faith in crypto The market makers will control the market and at this point ETFs will be approved and the next bull run begins The public enters ,0.15,0.4601
2019-04-14 21:03:32,BTC $511399 Down -$1007 -020% in the last hour bitcoin bitsmart ,0.2,-0.3612
2019-04-14 21:03:34,Bitcoin BTC Advances to Above 5100 as Overall Crypto Market Trading Volume Plummets  ,0.0,0.0
2019-04-14 21:03:35,This Week in BCH cryptonews cryptocurrencynews blockchain payment bitcoin bitcoincash btc bch payments Ethereum ico erc20  ,0.0,0.0
2019-04-14 21:03:35,In this article I posit that exchanges are the Bitcoin banks that Hal referred to and they can assist Bitcoin in scaling if only they started behaving better Proofs of Solvency are a must here  ,0.083,0.4404
2019-04-14 21:03:35,CryzonPT Printing is not mining Printing is creating and satoshi created 20 million bitcoin and decided how to distribute them which is great its the basis of the protocol ,0.242,0.8074
2019-04-14 21:03:37,Blood Sweat amp Tears Competing with $10 Trillion Incumbants indiegogo sandeigo Ethereum dallas mexico canberra washingtonDc BitCoin investing wavesplatform deals france bitcoinUK boston boise btc sqpay chille virginiabeach crowdfunding  ,0.064,-0.2263
2019-04-14 21:03:39,Bitcoin loss percentage from prior all time high vs Bitcoin price chart bitcoin $BTC BitcoinCharts  ,0.203,0.3818
2019-04-14 21:03:42,Bitcoin Address After Payment Send us Transaction Id amp Screenshot StaffTradingNation  ,0.0,0.0
2019-04-14 21:03:44,Xentagz Bitcoin will shake them out of their pants ,0.175,-0.1779
2019-04-14 21:03:54,Bitcoin Address After Payment Send us Transaction Id amp Screenshot StaffTradingNation  ,0.0,0.0
2019-04-14 21:03:54,In Venezuela Localbitcoin traded 1456 BTC last week ATH is 2487 A single bitcoin is 23000000 Bolivares last week it was 18000000 Monthly minimum wage is 5 USD The inflation rate is around 250000% ,0.0,0.0
2019-04-14 21:03:56,Pay with Bitcoin or Litecoin and get this real time gps tracker waterproof case combo for $99 PayWithLitecoin LitecoinFam TheRealXinxi ,0.069,-0.1027
2019-04-14 21:03:56,elonmusk theonevortex CryptoCobain No Bitcoin is your safe word  🍻,0.192,0.1779
2019-04-14 21:03:58,PCHAIN Bounty Program is on-going Lets share the 2800000 PI together blockchain Crypto cryptocurrency bitcoin Ethereum ,0.128,0.296
2019-04-14 21:04:00,Bitcoin Address After Payment Send us Transaction Id amp Screenshot StaffTradingNation  ,0.0,0.0
2019-04-14 21:04:03,MikeNardolillo But im not here to discuss this XRP is in no way like Bitcoin Not in the way they work or even in the way they were conceived ,0.098,0.1154
2019-04-14 21:04:05,No that hacker youre emailing doesnt have compromising videos of you Sextortion Cybersecurity  ,0.155,-0.296
2019-04-14 21:04:08,Binance Coin BNB spikes by 5% reason speculated to be CZs statement on Bitcoin SV BSV Crypto Cashflow via  📈,0.0,0.0
2019-04-14 21:04:08,Ripple Plagued by Fake Trades How Crypto Purge Vindicates Bitcoin Crypto Cashflow via  📈,0.166,-0.128
2019-04-14 21:04:09,Startup delivers what Israel Valley MIT and Stanford are still struggling with godblessamerica ICOs indianapolis lasvegas bitcoin TokenSales ITOs omaha gamecoin iconomi washingtonDc nashville TokenSales ico crypto AVCJKorea ITOs tampa  ,0.088,-0.4215
2019-04-14 21:04:10,It looks like WIKISPEED is no longer accepting Bitcoin ,0.383,0.4404
2019-04-14 21:04:13,Bloomberg Only 28% of active dapp users were on Ethereum blockchain as of January losing major ground to TRON and EOS  ,0.111,0.0258
2019-04-14 21:04:15,My interview with TimDraper airs tomorrow on The Crypto Chick badcrypto podcast Tim discusses how Bitcoin will change the world along with the best blockchain use cases - be sure to tune in  ,0.178,0.7579
2019-04-14 21:04:15, New Featured Project Bitcoin Oil BTCO Bitcoin Oil is a hard fork of Bitcoin with improvements in stability sustainability privacysmart sidechains and scalability fields Detailed information BitcoinOil Blockchain 🎙 🔷 🔶 🔶,0.216,0.7964
