created_at,tweet,sentiment,compound
2019-03-14 22:29,Bitcoin halvings and price trend 1Click Masternodes via  Ⓜ,0.0,0.0
2019-03-14 22:29,Foxyonat The timing of this is quite convenient I wonder if the bribes were paid via wire transfer or bitcoin Too bad normal people who just want to live their lives in peace are caught up in the daily corruption ,0.159,0.4215
2019-03-14 22:29,slavefootjesus StopAndDecrypt CryptoLaughing MrHodl MatijaHribernik mikeinspace alpacasw vakeraj rm0rf Th3Acist Is there any amount of evidence that would convince you that bitcoin has hard forked multiple times stopanddecrypt usually blocks this evidence because hes a safe spacer Would you  ,0.116,0.3818
2019-03-14 22:29,Haha more and more executives will undergo the same transition as the JP Morgan CEO This is because companies such as Samsung Amazon Facebook IBM etc are all creating blockchain and crypto products tripterium blockchain Crypto eth bitcoin btc Decentralization  👊 👍,0.286,0.9222
2019-03-14 22:29,Nicholas19 blogzap MattoshiN No BTC is not Bitcoin Bitcoin is defined in the whitepaper There is no SegWit and no protocol changes All of these BS protocol changes are an airdrop scam ,0.269,-0.8519
2019-03-14 22:29,bitcoin halvings and price trend for COINBASEBTCUSD by dan2010  ,0.0,0.0
2019-03-14 22:29,If only predictions were this easy I could buy a Bitcoin today and pay off my mortgage towards the end of 2020  ,0.254,0.7073
2019-03-14 22:30,Join now Report Over 40 Bugs in Blockchain and Crypto Platforms Detected Over Past 30 Days trading ethereum bitcoin ,0.109,0.296
2019-03-14 22:30,wheatpond Hes relentlessly negative on bitcoin To each their own  🤷 ♂,0.222,-0.5719
2019-03-14 22:30,You chase money every single day You stress over money all your life You worship money But you have no idea why money is valuable Money controls your life because you have no understanding of what it is Once you ask yourself What is money Bitcoin will make sense ,0.131,-0.1901
2019-03-14 22:30,CNBCFuturesNow jeffkilburg Jeff youve already published a short which hasnt even been filled yet But okay ,0.135,0.0644
2019-03-14 22:30,Expert Renewable Energy Not Enough for Bitcoins Sustainability Problem  ,0.229,-0.1531
2019-03-14 22:30,ARK Partners with Wolfram Blockchain Labs This partnership entails integration between Wolframs DLT hosting architecture and the ARK Ecosystem Giving developers direct access to work with a seamless set of computational tools CryptoNews ethereum bitcoin ,0.068,0.34
2019-03-14 22:30,Heres bitcoins best use case right now  ,0.412,0.6369
2019-03-14 22:30,how to use asic miner bitcoin crash december 2017 ,0.252,-0.4019
2019-03-14 22:30,Join our pump group bitcoin BTC ETH XRP EOS Stellar LTC BCH BCHSV Cardano tron XMR iota dash neo waves Qtum xvg steem tpay DNT CVC bigpumpsignal megapump bigpumpgroup Updated on 20190314 223001 ,0.064,0.296
2019-03-14 22:30,Boeing in Turbulence with $600 Billion in Orders Under Threat Has Stock Bottomed cryptonews cryptolife cryptocurrency tradingcrypto ethereum btc bitcoin blockchain crypto eth cryptocurrencynews CryptoNews cryptoinvestor cryptocurrencies  ,0.191,-0.7096
2019-03-14 22:30,Binance $387532 Bitstamp $3852 Bitfinex $39494 Coinbase $387271 Check out some AltCoins Start trading now bitcoin ethereum blockchain ,0.0,0.0
2019-03-14 22:30,Tom Lee Bitcoin Price on Verge of Racing into Bull Market  ,0.231,0.4588
2019-03-14 22:30,cryptocurrency Price Analysis for Bitsend BSD Last Hour Change -058 % 15-03-2019 0030 Price in USD 00550437387 Price in EUR 00486747378 New Price in Bitcoin BTC 000001403 Coin Rank 723 ⬇,0.077,-0.3612
2019-03-14 22:30,A glimpse into the future Register Now amp Start Buying amp Selling Cryptocurrency Crypto Cryptocurrency Bitcoin BTC Ethereum ETH Ripple XRP EOS Stellar Litecoin LTC Cardano Monero TRON IOTA Dash Tezos  👉 👀 📈 📉 ✅,0.062,-0.0516
2019-03-14 22:30,One Bitcoin now worth $385328bitstamp High $3903980 Low $3775010 Market Cap $67767 Billion bitcoin ,0.28,0.2263
2019-03-14 22:30,One Bitcoin now worth $3884918 Market Cap $68330 Billion Based on coindesk BPI bitcoin ,0.128,0.2263
2019-03-14 22:30,Again these are just simple examples of what Bitcoin can achieve TODAY and Planaria was created to make this easy for developers All this can be done today Bitcoin can do all this today  ,0.144,0.657
2019-03-14 22:30,xrp is assumed given that there are so many great driving boots on the ground companies behind it I am also invested in ADA cordano as there are some good use cases that could drive it quick ,0.176,0.8062
2019-03-14 22:30,CashApp Cant withdraw bitcoin after purchase Sad  😞,0.47,-0.7351
2019-03-14 22:30,amazonbum Niallm941 Cryptobertus geckozoo IamNomad Is it something like 1% of the worlds population has bitcoin ,0.143,0.3612
2019-03-14 22:30,An early blogpost of mine about bitcoin in secondlife Gives a sense of what was going on in its early days inworld Thoughts E ,0.0,0.0
2019-03-14 22:30,Tom Lee Bitcoin Price on Verge of Racing into Bull Market into bull market  ,0.333,0.7184
